feature,importance
Speed Limit (km/h),0.08404307189738122
Min_temp_celsius,0.08396375299526793
Rainfall_mm,0.0835130335597926
Max_temp_celsius,0.08066724576679268
City Name,0.07838814967060698
Driver Age,0.07695576446249278
State Name,0.07191624326252767
Month,0.06830796541069553
Year,0.050110142043092
Day of Week,0.04044479779204118
Weather Conditions,0.033491976358393544
Traffic Control Presence,0.031342937805905885
Road Type,0.030767136098494206
Road Condition,0.03072249755303625
Accident Location Details,0.02899570886598139
Lighting Conditions,0.02898426795096841
Number of Vehicles Involved,0.026753721897523463
Traffic Congestion,0.025467103777573465
Driver License Status,0.01915965141544062
Driver Gender,0.013806707802292168
Alcohol Involvement,0.012198123613700085
Hour,0.0
