,State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Traffic Congestion
0,Jammu and Kashmir,Anantnag,2021,May,Monday,1:46,Serious,5,Cycle,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,,Yes,Curve,33.72855,75.157809,35.28499383003236,16.413720703125023,6.27723083496096,1.0
1,Uttar Pradesh,Lucknow,2018,January,Wednesday,21:30,Minor,5,Truck,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,,Yes,Straight Road,26.84122,80.941713,0.0171661366721309,22.482507324218773,7.916177368164085,1.0
2,Chhattisgarh,Bhilai,2023,May,Wednesday,5:37,Minor,5,Pedestrian,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,,No,Bridge,21.220082,81.370023,0.0128717250369447,41.07850036621096,24.320733642578148,1.0
3,Uttar Pradesh,Lucknow,2020,June,Saturday,0:31,Minor,3,Bus,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,Straight Road,26.828948,80.942976,58.09235581591565,34.04725036621096,26.505944824218773,0.7745966692414833
4,Sikkim,Gyalshing,2021,August,Thursday,11:21,Minor,5,Cycle,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,,No,Intersection,27.287956,88.266339,429.8419765879089,20.696939086914085,17.438088989257835,1.0
5,Meghalaya,Shillong,2020,November,Tuesday,8:4,Serious,1,Truck,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,Bridge,25.591832,91.902859,0.0481100078104645,23.53138122558596,14.19837341308596,0.4472135954999579
6,Sikkim,Gangtok,2021,October,Monday,18:55,Fatal,2,Two-Wheeler,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,,No,Straight Road,27.345394,88.588823,12.493105512419334,22.8464294433594,9.894158935546898,0.6324555320336759
7,Himachal Pradesh,Mandi,2022,December,Wednesday,11:40,Minor,3,Truck,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,Curve,31.712472,76.942679,0.0012890293419332,16.220437622070335,-1.3341430664062273,0.7745966692414833
8,Rajasthan,Jodhpur,2021,July,Saturday,8:26,Fatal,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,Straight Road,26.237436,73.034207,126.32907889680568,36.654946899414085,27.09565124511721,0.7745966692414833
9,Rajasthan,Jodhpur,2018,August,Saturday,2:1,Fatal,2,Car,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,,Yes,Straight Road,26.259888,73.017726,0.476263734526583,33.28890380859377,25.893167114257835,0.6324555320336759
10,Himachal Pradesh,Dharamshala,2020,April,Thursday,22:25,Minor,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,,No,Straight Road,32.221341,76.341782,41.42169654366867,11.14441833496096,-1.4212097167968525,1.0
11,Uttar Pradesh,Kanpur,2018,August,Tuesday,16:49,Fatal,3,Bus,1,4,Clear,National Highway,Wet,Dusk,,46,41,Male,Valid,No,Curve,26.439764,80.319586,163.13962758613343,30.75605163574221,26.004495239257835,0.7745966692414833
12,Assam,Dibrugarh,2021,September,Saturday,23:22,Serious,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,,No,Straight Road,27.451896,94.901843,45.05883194402216,33.5811706542969,26.81345520019533,0.4472135954999579
13,Bihar,Gaya,2020,June,Wednesday,6:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,24.810023,84.976147,258.1640743596836,31.40479431152346,26.07761535644533,1.0
